num_fielders,runs_allowed_per_game,DefEff,games,games_started,complete_games,innings,chances,putouts,assists,errors,double_plays,fielding_percentage,total_zone_runs,total_zone_runs_per_year,defensive_runs_saved,defensive_runs_saved_per_year,good_plays,team_name
65,4.85,.695,162,1458,1154,12996.0,5853,4332,1437,84,125,.986,35,3,-8,0,4,arizona-diamondbacks
58,5.04,.698,162,1458,1095,12939.0,5612,4313,1211,88,109,.984,-26,-2,2,-3,-2,athletics
70,4.53,.698,162,1458,1163,12942.0,5735,4314,1367,54,109,.991,18,2,-3,3,10,atlanta-braves
69,4.86,.684,162,1458,1109,12894.0,5789,4298,1403,88,121,.985,-35,-3,2,0,-5,baltimore-orioles
55,4.17,.691,162,1458,1085,13035.0,5922,4345,1461,116,131,.980,36,3,-14,0,-3,boston-redsox
52,4.01,.719,162,1458,1154,12915.0,5708,4305,1342,61,117,.989,54,5,4,4,9,chicago-cubs
62,4.58,.696,162,1458,1036,12744.0,5618,4248,1271,99,131,.982,-37,-3,-9,-1,-4,chicago-whitesox
53,4.20,.711,162,1458,1116,12915.0,5631,4305,1239,87,101,.985,25,2,-1,0,-1,cincinnati-reds
44,4.01,.698,162,1458,1026,12978.0,5755,4326,1330,99,121,.983,33,3,-7,0,-3,cleveland-guardians
56,6.30,.661,162,1458,1151,12666.0,5797,4222,1465,110,156,.981,-56,-5,-12,0,-2,colorado-rockies
58,4.27,.702,162,1458,1037,12927.0,5767,4309,1379,79,128,.986,35,3,-4,0,0,detroit-tigers
60,4.10,.708,162,1458,1044,12978.0,5680,4326,1284,70,105,.988,15,1,-17,0,-1,houston-astros
49,3.93,.708,162,1458,996,12930.0,5809,4310,1437,62,132,.989,62,6,15,0,-1,kansas-city-royals
65,5.17,.689,162,1458,1119,12882.0,5810,4294,1419,97,159,.983,-49,-5,-2,-1,-2,los-angeles-angels
61,4.22,.704,162,1458,1009,12969.0,5737,4323,1346,68,102,.988,25,2,0,0,1,los-angeles-dodgers
56,4.93,.700,162,1458,994,12990.0,5798,4330,1383,85,107,.985,-29,-3,16,0,-6,miami-marlins
55,3.91,.709,162,1458,1072,12978.0,5699,4326,1297,76,122,.987,35,3,4,0,2,milwaukee-brewers
57,4.77,.684,162,1458,990,12840.0,5575,4280,1210,85,98,.985,-77,-7,-4,-1,1,minnesota-twins
63,4.41,.688,162,1458,1082,12888.0,5850,4296,1475,79,119,.986,-43,-4,9,2,4,new-york-mets
52,4.23,.708,162,1458,1062,12957.0,5802,4319,1389,94,105,.984,18,2,14,0,-3,new-york-yankees
47,4.00,.691,162,1458,1124,12963.0,5766,4321,1383,62,105,.989,-21,-2,5,0,0,philadeliphia-phillies
57,3.98,.707,162,1458,1134,12876.0,5703,4292,1334,77,118,.986,39,4,-6,0,-6,pittsburgh-pirates
51,3.83,.717,162,1458,1075,12897.0,5607,4299,1234,74,117,.987,8,1,0,0,-1,san-diego-padres
54,4.28,.703,162,1458,1101,13164.0,5812,4388,1355,69,118,.988,1,0,-9,0,-3,seattle-mariners
53,4.22,.684,162,1458,1158,12903.0,5919,4301,1523,95,134,.984,-51,-5,-4,3,-1,san-francisco-giants
44,4.65,.689,162,1458,1097,12888.0,5933,4296,1557,80,124,.987,-44,-4,-1,0,1,st-louis-cardinals
56,4.22,.705,162,1458,1065,12882.0,5791,4294,1416,81,147,.986,8,1,0,0,7,tampa-bay-rays
54,3.73,.720,162,1458,1095,12987.0,5744,4329,1364,51,122,.991,62,6,16,3,0,texas-rangers
58,4.45,.700,162,1458,940,12942.0,5672,4314,1272,86,118,.985,-8,-1,4,4,5,toronto-bluejays
51,5.55,.679,162,1458,1175,12810.0,5768,4270,1404,94,132,.984,-57,-5,-9,-4,-9,washington-nationals
