date,league_id,team_id,team_name,wins,losses,winning_pct,division_rank,league_rank,sport_rank,games_back,wc_rank,wc_gb,wc_elim_num,elim_num,mlb_rank
2025-04-06,103,108,los-angeles-angels,6,3,0.6666666666666666,2,2,2,1.5,1,+1.5,-,152,6
2025-04-13,103,108,los-angeles-angels,9,6,0.6,1,2,2,-,-,-,-,-,6
2025-04-20,103,108,los-angeles-angels,11,10,0.5238095238095238,3,7,7,1.5,4,0.5,141,140,15
2025-04-27,103,108,los-angeles-angels,12,15,0.4444444444444444,5,12,12,3.5,9,2.5,133,132,22
2025-05-04,103,108,los-angeles-angels,13,20,0.3939393939393939,5,14,14,7.0,11,5.0,124,123,25
2025-05-11,103,108,los-angeles-angels,16,23,0.41025641025641024,5,13,13,6.0,10,4.5,118,118,25
2025-05-18,103,108,los-angeles-angels,20,25,0.4444444444444444,5,13,13,6.0,10,4.5,113,112,24
2025-05-25,103,108,los-angeles-angels,25,27,0.4807692307692308,4,11,11,4.0,8,3.0,107,107,21
2025-06-08,103,108,los-angeles-angels,30,34,0.46875,4,12,12,5.5,9,4.5,94,93,22
2025-06-15,103,108,los-angeles-angels,33,37,0.4714285714285714,4,12,12,7.5,9,3.0,90,85,22
2025-06-22,103,108,los-angeles-angels,37,40,0.4805194805194805,4,11,11,7.5,8,2.5,84,78,21
2025-06-29,103,108,los-angeles-angels,41,42,0.4939759036144578,3,7,7,8.5,4,2.0,78,71,16
2025-07-06,103,108,los-angeles-angels,43,46,0.48314606741573035,4,9,9,11.5,6,4.5,69,62,19
2025-07-27,103,108,los-angeles-angels,51,55,0.4811320754716981,4,11,11,9.0,8,5.0,52,48,20
2025-08-03,103,108,los-angeles-angels,54,58,0.48214285714285715,4,11,11,8.0,8,5.5,45,43,21
2025-08-10,103,108,los-angeles-angels,56,62,0.4745762711864407,4,12,12,10.0,9,6.0,39,35,23
2025-08-17,103,108,los-angeles-angels,60,64,0.4838709677419355,4,11,11,9.0,8,7.0,32,30,19
2025-08-24,103,108,los-angeles-angels,61,69,0.46923076923076923,4,11,11,10.5,8,8.5,24,22,21
2025-09-07,103,108,los-angeles-angels,67,76,0.46853146853146854,4,11,11,10.5,8,8.0,12,9,21
2025-09-14,103,108,los-angeles-angels,69,81,0.46,5,13,13,13.0,10,12.0,1,E,24
2025-09-21,103,108,los-angeles-angels,70,86,0.44871794871794873,5,13,13,17.0,10,14.0,E,E,25
2025-09-28,103,108,los-angeles-angels,72,90,0.4444444444444444,5,13,13,18.0,10,15.0,E,E,25
2025-04-06,104,109,arizona-diamondbacks,5,5,0.5,4,8,8,3.5,5,1.5,152,149,13
